x,y,z,intensity,t,reflectivity,ring,ambient,range
-4.6248107,4.247519,1.8251771,116.0,4690048,2,40,600,6530
-4.615551,4.2915406,1.8317722,1302.0,4737528,47,40,1063,6554
-4.5968285,4.3270345,1.834795,1340.0,4785888,50,40,1330,6565
-4.5994086,4.383036,1.8463365,992.0,4835688,32,40,1150,6607
-4.593175,4.4312153,1.8545805,867.0,4882728,26,40,1214,6637
-4.609895,4.5023384,1.8721676,1114.0,4934248,37,40,1302,6701
-4.6054153,4.553539,1.8815107,1099.0,4980968,38,40,1318,6735
-4.6351156,4.6395645,1.9048686,1221.0,5033808,44,40,1331,6820
-4.6342335,4.695994,1.9161353,1359.0,5078528,53,40,1414,6861
-4.6281376,4.747763,1.9254785,1130.0,5129488,39,40,1250,6895
-4.6535716,4.8328986,1.948012,819.0,5176048,26,40,1066,6977
-4.654955,4.8941245,1.9609275,910.0,5226488,30,40,1073,7024
-4.637996,4.9366174,1.9664234,1009.0,5278208,35,40,892,7044
-4.6291885,4.988253,1.9754918,738.0,5325688,23,40,845,7077
-4.654333,5.077551,1.9991244,463.0,5373688,13,40,536,7163
-25.098825,4.2121058,6.9930663,29.0,882512,17,41,2899,26384
-23.381271,4.21941,6.530497,45.0,977672,22,41,2783,24631
-6.7609034,3.5647452,2.121706,248.0,3420936,11,41,7198,7923
-6.6462135,3.5565405,2.092944,349.0,3468496,15,41,7535,7814
-6.583583,3.5751522,2.080278,402.0,3515056,17,41,6928,7766
-6.4846535,3.573107,2.0562656,405.0,3567536,18,41,7990,7675
-6.3918924,3.5732799,2.0341,414.0,3612336,17,41,8619,7591
-6.2909865,3.5676906,2.0092962,426.0,3664576,18,41,8764,7497
-6.1995893,3.5662916,1.9873946,405.0,3714736,16,41,8741,7414
-6.117612,3.5692554,1.9683957,463.0,3763136,19,41,8697,7342
-6.0184026,3.5610304,1.9438555,481.0,3810616,19,41,8782,7249
-5.933587,3.5601635,1.9238012,468.0,3860776,18,41,8580,7173
-5.8457155,3.5563853,1.9026914,473.0,3907296,17,41,8669,7093
-5.77207,3.5602753,1.8860674,480.0,3954896,18,41,8723,7030
-5.696964,3.5623736,1.8689156,474.0,4003616,17,41,9079,6965
-5.6367135,3.5729837,1.8565136,538.0,4054296,20,41,9159,6918
-5.5538297,3.5683858,1.8367231,524.0,4104176,18,41,8965,6843
-5.4817233,3.5697517,1.8203629,534.0,4151456,19,41,9008,6781
-5.413031,3.572494,1.8050584,545.0,4201776,19,41,8984,6723
-5.346918,3.5761383,1.7905453,611.0,4248936,21,41,9059,6668
-5.290546,3.5856028,1.7791988,626.0,4298856,22,41,8949,6625
-5.22313,3.5868638,1.764158,642.0,4345336,22,41,8827,6568
-5.1582747,3.5890872,1.7499089,743.0,4394696,25,41,8379,6514
-5.103049,3.5973217,1.7388262,683.0,4443496,22,41,8746,6472
-5.045563,3.6033323,1.726952,709.0,4495096,23,41,9162,6427
-4.985072,3.6065116,1.7140222,744.0,4543776,25,41,9566,6378
-4.930178,3.6130776,1.7029395,755.0,4594136,25,41,6892,6336
-4.9373417,3.6651142,1.7129667,242.0,4640616,7,41,2819,6374
-4.822262,3.62576,1.6813018,84.0,4690048,3,41,9734,6254
-4.7561903,3.621961,1.6662611,675.0,4737528,21,41,7243,6197
-4.736168,3.6528442,1.6670527,1189.0,4785888,43,41,6263,6200
-4.7136655,3.6818361,1.6670527,1260.0,4835688,46,41,2715,6200
-4.6977925,3.7160764,1.6694276,1217.0,4882728,43,41,1331,6209
-4.7426434,3.7991202,1.6931762,151.0,4934248,3,41,439,6299
-4.7356043,4.139585,1.7514921,20.0,5278208,1,41,382,6520
-4.6458426,4.1116567,1.7280074,511.0,5325688,14,41,689,6431
-4.652128,4.168414,1.7396178,381.0,5373688,10,41,634,6475
-4.672177,4.238367,1.7565057,115.0,5420168,3,41,372,6539
-4.63827,4.2597766,1.7536031,86.0,5468008,2,41,652,6528
